position,text_of_post
non-toxic,"Doesn't matter, Trump and his Christian Terrorist will be happy being reunited in Heaven when the world ends...That's why they're willing to take us out and the world...Sad, not to different from those Muslim Terrorist they're afraid of...#MAGA"
toxic,You can't fix stupid and I'm not talking about Ms Moore or Ms. Meier.
non-toxic,"Wrong response. You are supposed to say something like ""Gee Mr. Trump, you're my hero because you're so big and stwong""."
toxic,"You're pathetic.  You voted for Trump because you believed his BS, because your widdle feewings got hurt and because you can't think for yourself."
toxic,"It will be perfectly appropriate when the human race, through neglect and stupidity, brings about its own extinction. The devout will mutter, ""It's God's will,"" the atheists will insist, ""There's no God to fault,"" and other living creatures (apes, beavers, your dog or cat) will frown at us and spit, ""You idiots!"""
toxic,So now we`re going to come out with stories of all the good things that drones can do...  And all the idiot drone owners who fly their camera equipped drones over other people`s properties are going to point to that one good deed to try to justify their ignorance.  Good luck.
toxic,good one troll lol
toxic,"Everyone is entitled to moments of stupidity, but Hillary consistently abuses the privilege!"
toxic,"Hypocrites, the cpc? Say it ain't so!"
non-toxic,If Trudeau could get away with letting in thousands of people he knows would vote for him then he would. If you believe otherwise you're a fool.
toxic,"what BS excuse is that? Nu uh, screwing over Canadians is stupid. Our dollar is also kept artificially low for trade deals rendering the whole Canadian public a third world nation for foreign companies, it's beyond stupid and wrong."
non-toxic,Another RINO shows his true colors.  Don't let the door hit you in the ass on your way out.
non-toxic,"""Being black, I wouldn’t don blackface to educate about systemic racism."" If a black person puts on blackface?"
non-toxic,Wht a complete  idiot. I guess we should just outright ban tuna too
non-toxic,"Yeah, but will the debates make any difference? - Every time Mr. Trump opens his mouth he looks like a 'damn fool' - But inexplicably Mr. Trump's polling numbers go up with every incognizant bloviation."
non-toxic,Little thugs that I hope get killed in prison after they have been raped.
non-toxic,Lay offs suck and the legislatures need to do their job. -BUT- Anchorage needs to stop the whining and crying and implement a Citywide sales tax...
toxic,I guess Cayetano only likes it when he wastes Hawaii taxpayer's millions....like when he gave millions directly to Trump for hosting the Ms. Universe. Foolish and harmful of Cayetano!
toxic,Ken ... are you really that stupid?
toxic,Stupidiity becomes you nicely.
toxic,"thank god the majority of the country isnt a brain washed liberal sheep like you!,, you are the ones failing with your liberal fascism bs and economic stupidity that does real damage to peoples lives"
toxic,"Indeed...every time I see some maudlin fool do this, it's hard not to flashback to the last time I saw a cat or dog licking its own a$$, or--in the case of dogs--eating its own feces.  Cats eat parasite-infected mice instead.

Natural selection is always on the lookout for the weak and stupid.  It cures all ills."
toxic,I thought she moved out of state. Still here? Darn the luck. Maybe losing the PFD will finally nudge those those twits along their way.
non-toxic,"Robert Redford a perv?? No way. Shaw, aka ""Lucky"" somebody I think, uttered Ya Folla."
toxic,"If you idiots would realize that this cougar had more right to be there than the stupid feral cats, this wouldn't have happened!!!!"
non-toxic,"there is very much a thing called stupidity and you live in it sins,, clearly one of the ALT LEFT WINGERS here..."
non-toxic,"Hmmm ... if a white male had posted this, wouldnt it be a Hate Crime?  

Case in point: the muslim van-driver with the ISIS flag in back that struck a police officer in Edmonton ... sorry folks he's muslim, can't be a hate-crime."
toxic,"Trump is a silly, weak clown.  What an embarrassment"
toxic,"They have the White House, the House, and the Senate and they can't govern themselves out of a paper bag.  But hey, keep ginning up the race baiting cause that'll get the twice removed judge into office.  Maybe that idiot will help you."
toxic,"Punish who?  All I can see what happened in the Trump attack was to kill some civilians. If you want to help the Syria's children let in some refuges.  This was all just show, change the subject for a few days. Americans are suckers."
toxic,"I'm an ex military vet. I cannot recall anytime the Liberals have done anything positive for the military. What surprises me is that most are so surprised. If you vote in a bunch of idiots, you get idiocy."
toxic,Been here 42 years. Crime certainly is on the rise. This idiot will do no time thought. SB91 will see to that.
non-toxic,Schill kisses every butt but he will do whatever the feds want - a fake.
toxic,The only justice here would be if they each get raped in prison and then brutally beaten to death.
toxic,"We have a serious problem with mental health I this country, and throw I easy access to guns and it gets a bit scary. Thank god these idiots were intercepted. The conspiracy fanatics are out of control."
non-toxic,"For God's sake! This isn't about left or right! It is about WRONG & RIGHT! Politics be damned! You can't possibly think the author would NOT write about the rape of 2 babies simply because they usually vote left or right! That is offensive - this is about children, rape & the heinous actions of anyone regardless of their political affiliation attempting to use their political position to advocate for leniency. Shame on you Richard for even suggesting that!!"
